"Time Block","Time","ALAKNANDA HYDRO POWER COMPANY Ltd. UPPCL DC/ Entitlement (MW)","ALAKNANDA HYDRO POWER COMPANY Ltd. UPPCL SG (MW)","Bajaj Energy Ltd Unit Berkhera UPPCL DC/ Entitlement (MW)","Bajaj Energy Ltd Unit Berkhera UPPCL SG (MW)","Bajaj Energy Ltd Unit Khambarkhera UPPCL DC/ Entitlement (MW)","Bajaj Energy Ltd Unit Khambarkhera UPPCL SG (MW)","Bajaj Energy Ltd Unit Kundarkhi UPPCL DC/ Entitlement (MW)","Bajaj Energy Ltd Unit Kundarkhi UPPCL SG (MW)","Bajaj Energy Ltd Unit Maqsoodapur UPPCL DC/ Entitlement (MW)","Bajaj Energy Ltd Unit Maqsoodapur UPPCL SG (MW)","Bajaj Energy Ltd Unit Utraula UPPCL DC/ Entitlement (MW)","Bajaj Energy Ltd Unit Utraula UPPCL SG (MW)","LALITPUR POWER GENERATION COMPANY LIMITED UPPCL DC/ Entitlement (MW)","LALITPUR POWER GENERATION COMPANY LIMITED UPPCL SG (MW)","LANCO UPPCL DC/ Entitlement (MW)","LANCO UPPCL SG (MW)","Meja Urja Nigam Pvt Ltd UPPCL DC/ Entitlement (MW)","Meja Urja Nigam Pvt Ltd UPPCL SG (MW)","PRAYAGRAJ SUPERCRITICAL TPP BARA UPPCL DC/ Entitlement (MW)","PRAYAGRAJ SUPERCRITICAL TPP BARA UPPCL SG (MW)","ROSA-I UPPCL DC/ Entitlement (MW)","ROSA-I UPPCL SG (MW)","ROSA-II UPPCL DC/ Entitlement (MW)","ROSA-II UPPCL SG (MW)","TANDA UPPCL DC/ Entitlement (MW)","TANDA UPPCL SG (MW)","VISHNU-PRAYAG UPPCL DC/ Entitlement (MW)","VISHNU-PRAYAG UPPCL SG (MW)","Total Total UPPCL DC/ Entitlement(MW)","Total Total UPPCL SG(MW)"
"1","00:00-00:15","82","82","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1856.25","1017.5","1017.5","994.19","NA","1600","1600","549","549","549","549","387.2","0","93","93","7534.2","5970.1"
"2","00:15-00:30","82","82","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1856.25","1017.5","1017.5","994.19","NA","1600","1600","549","549","549","549","387.2","0","93","93","7534.2","5970.1"
"3","00:30-00:45","82","82","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1856.25","1017.5","1017.5","994.19","NA","1600","1600","549","549","549","549","387.2","0","93","93","7534.2","5970.1"
"4","00:45-01:00","82","82","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1856.25","1017.5","1017.5","994.19","NA","1600","1600","549","549","549","549","387.2","0","93","93","7534.2","5970.1"
"5","01:00-01:15","82","82","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1856.25","1017.5","1017.5","994.19","NA","1600","1600","549","549","549","549","387.2","0","93","93","7534.2","5970.1"
"6","01:15-01:30","82","82","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1856.25","1017.5","1017.5","994.19","NA","1600","1600","549","549","549","549","387.2","0","93","93","7534.2","5970.1"
"7","01:30-01:45","82","82","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1856.25","1017.5","1017.5","994.19","NA","1600","1600","549","549","549","466.66","387.2","0","93","93","7534.2","5887.8"
"8","01:45-02:00","82","82","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1856.25","1017.5","1017.5","994.19","NA","1600","1600","549","549","549","384.32","387.2","0","93","93","7534.2","5805.5"
"9","02:00-02:15","82","82","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1856.25","1017.5","1017.5","994.19","NA","1600","1600","549","549","549","301.98","387.2","0","93","93","7534.2","5723.1"
"10","02:15-02:30","82","82","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","81.22","44.68","1856.25","1856.25","1017.5","1017.5","994.19","NA","1600","1600","549","549","549","301.96","387.2","0","93","93","7534.2","5723.1"
