"Time Block","Time","DHARI-LT46-NPCL(34MW) UPPCL DC/ Entitlement (MW)","DHARI-LT46-NPCL(34MW) UPPCL SG (MW)","GBHHPL UPPCL DC/ Entitlement (MW)","GBHHPL UPPCL SG (MW)","KARCHAM HEP-LT26-UPPCL UPPCL DC/ Entitlement (MW)","KARCHAM HEP-LT26-UPPCL UPPCL SG (MW)","KSK LT-53 (770) UPPCL DC/ Entitlement (MW)","KSK LT-53 (770) UPPCL SG (MW)","MBP-LT39-UPPCL UPPCL DC/ Entitlement (MW)","MBP-LT39-UPPCL UPPCL SG (MW)","MBP-LT51 (169) UPPCL DC/ Entitlement (MW)","MBP-LT51 (169) UPPCL SG (MW)","RKM-LT49-UPPCL(200MW) UPPCL DC/ Entitlement (MW)","RKM-LT49-UPPCL(200MW) UPPCL SG (MW)","TEESTA-III UPPCL DC/ Entitlement (MW)","TEESTA-III UPPCL SG (MW)","TRN LT-52 (390) UPPCL DC/ Entitlement (MW)","TRN LT-52 (390) UPPCL SG (MW)","Total Total UPPCL DC/ Entitlement(MW)","Total Total UPPCL SG(MW)"
"1","00:00-00:15","171","171","0","0","29.64","29.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2297.8","2297.8"
"2","00:15-00:30","171","171","0","0","29.64","29.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2297.8","2297.8"
"3","00:30-00:45","171","171","0","0","29.64","29.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2297.8","2297.8"
"4","00:45-01:00","171","171","0","0","29.64","29.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2297.8","2297.8"
"5","01:00-01:15","171","171","0","0","29.64","29.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2297.8","2297.8"
"6","01:15-01:30","171","171","0","0","29.64","29.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2297.8","2297.8"
"7","01:30-01:45","171","171","0","0","29.64","29.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2297.8","2297.8"
"8","01:45-02:00","171","171","0","0","29.64","29.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2297.8","2297.8"
"9","02:00-02:15","171","171","0","0","29.64","29.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2297.8","2297.8"
"10","02:15-02:30","171","171","0","0","49.64","49.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.8","2317.8"
"11","02:30-02:45","171","171","0","0","49.64","49.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.8","2317.8"
"12","02:45-03:00","171","171","0","0","49.64","49.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.8","2317.8"
"13","03:00-03:15","171","171","0","0","49.64","49.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.8","2317.8"
"14","03:15-03:30","171","171","0","0","49.64","49.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.8","2317.8"
"15","03:30-03:45","171","171","0","0","49.64","49.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.8","2317.8"
"16","03:45-04:00","171","171","0","0","49.64","49.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.8","2317.8"
"17","04:00-04:15","171","171","0","0","49.64","49.64","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.8","2317.8"
"18","04:15-04:30","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
"19","04:30-04:45","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
"20","04:45-05:00","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
"21","05:00-05:15","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
"22","05:15-05:30","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
"23","05:30-05:45","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
"24","05:45-06:00","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
"25","06:00-06:15","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
"26","06:15-06:30","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
"27","06:30-06:45","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
"28","06:45-07:00","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
"29","07:00-07:15","171","171","0","0","49.4","49.4","1000","1000","189.96","189.96","167.21","167.21","350","350","0","0","390","390","2317.6","2317.6"
