"Time Block","Time","ANPARA-A UPPCL DC/ Entitlement (MW)","ANPARA-A UPPCL SG (MW)","ANPARA-B UPPCL DC/ Entitlement (MW)","ANPARA-B UPPCL SG (MW)","ANPARA-D UPPCL DC/ Entitlement (MW)","ANPARA-D UPPCL SG (MW)","HARDUAGANJ UPPCL DC/ Entitlement (MW)","HARDUAGANJ UPPCL SG (MW)","HARDUAGANJ D UPPCL DC/ Entitlement (MW)","HARDUAGANJ D UPPCL SG (MW)","Harduaganj 1X660 MW UPRVUNL UPPCL DC/ Entitlement (MW)","Harduaganj 1X660 MW UPRVUNL UPPCL SG (MW)","Jawaharpur Vidyut Utapadan Nigam Ltd Distt Etah UPPCL DC/ Entitlement (MW)","Jawaharpur Vidyut Utapadan Nigam Ltd Distt Etah UPPCL SG (MW)","OBRA C UPPCL DC/ Entitlement (MW)","OBRA C UPPCL SG (MW)","OBRA-B UPPCL DC/ Entitlement (MW)","OBRA-B UPPCL SG (MW)","PARICHHA-B UPPCL DC/ Entitlement (MW)","PARICHHA-B UPPCL SG (MW)","PARICHHA-C UPPCL DC/ Entitlement (MW)","PARICHHA-C UPPCL SG (MW)","Total Total UPPCL DC/ Entitlement(MW)","Total Total UPPCL SG(MW)"
"1","00:00-00:15","520","520","778","778","937.5","937.5","99.55","99.55","200","200","550","550","0","0","0","0","700","700","170","170","390","390","4345.0","4345.0"
"2","00:15-00:30","520","520","778","778","937.5","937.5","99.55","99.55","200","200","550","550","0","0","0","0","700","700","170","170","390","390","4345.0","4345.0"
"3","00:30-00:45","520","520","778","778","937.5","937.5","90","90","200","200","550","550","0","0","0","0","700","700","170","170","400","400","4345.5","4345.5"
"4","00:45-01:00","520","520","778","778","937.5","937.5","90","90","200","200","550","550","0","0","0","0","700","700","170","170","400","400","4345.5","4345.5"
"5","01:00-01:15","520","520","778","778","937.5","937.5","90","75.75","200","165.88","550","457.19","0","0","0","0","700","700","170","170","400","400","4345.5","4204.3"
"6","01:15-01:30","520","520","778","778","937.5","937.5","90","61.5","200","131.76","550","364.38","0","0","0","0","700","700","170","141.34","400","331.76","4345.5","3966.2"
"7","01:30-01:45","520","520","778","778","937.5","937.5","90","54.75","200","125.13","550","340.31","0","0","0","0","700","700","170","112.68","400","263.52","4345.5","3831.9"
"8","01:45-02:00","520","520","778","778","937.5","937.5","90","54.75","200","125.13","550","340.31","0","0","0","0","700","700","170","112.68","400","263.52","4345.5","3831.9"
"9","02:00-02:15","520","520","778","778","937.5","937.5","90","54.75","200","125.13","550","340.31","0","0","30","30","700","700","170","141.34","400","331.76","4375.5","3958.8"
"10","02:15-02:30","520","520","778","778","937.5","937.5","90","54.75","200","125.13","550","340.31","0","0","30","30","700","700","170","141.34","400","331.76","4375.5","3958.8"
"11","02:30-02:45","520","520","778","778","937.5","937.5","90","54.75","200","125.13","550","340.31","0","0","60","60","700","700","170","141.34","400","331.76","4405.5","3988.8"
"12","02:45-03:00","520","520","778","778","937.5","937.5","90","54.75","200","125.13","550","340.31","0","0","80","80","700","700","170","112.68","410","263.52","4435.5","3911.9"
"13","03:00-03:15","520","520","778","778","937.5","937.5","90","54.75","200","125.13","550","340.31","0","0","100","100","700","700","170","105.11","410","250.26","4455.5","3911.1"
"14","03:15-03:30","520","520","778","778","937.5","937.5","90","54.75","200","125.13","550","340.31","0","0","120","120","700","700","170","105.11","410","250.26","4475.5","3931.1"
"15","03:30-03:45","520","520","778","778","937.5","937.5","90","54.75","200","125.13","550","340.31","0","0","140","140","700","700","170","105.11","430","250.26","4515.5","3951.1"
"16","03:45-04:00","520","520","778","778","937.5","937.5","90","54.75","200","125.13","550","340.31","0","0","160","160","685","685","170","105.11","430","250.26","4520.5","3956.1"
"17","04:00-04:15","520","520","778","778","937.5","937.5","90","54.75","240","165.13","550","340.31","0","0","170","170","685","685","182","105.11","430","250.26","4582.5","4006.1"
"18","04:15-04:30","520","520","778","778","937.5","937.5","90","54.75","250","175.13","550","340.31","0","0","190","190","685","685","182","105.11","430","250.26","4612.5","4036.1"
"19","04:30-04:45","520","520","778","778","937.5","937.5","90","54.75","250","175.13","550","340.31","0","0","180","180","685","685","182","105.11","430","250.26","4602.5","4026.1"
"20","04:45-05:00","520","520","778","778","937.5","937.5","90","54.75","250","175.13","550","340.31","0","0","180","180","685","685","182","105.11","430","250.26","4602.5","4026.1"
"21","05:00-05:15","520","520","778","778","937.5","937.5","90","54.75","250","175.13","550","340.31","0","0","180","180","685","685","182","105.11","430","250.26","4602.5","4026.1"
"22","05:15-05:30","520","520","778","778","937.5","937.5","90","54.75","250","175.13","550","340.31","0","0","180","180","685","685","182","105.11","430","250.26","4602.5","4026.1"
"23","05:30-05:45","520","520","778","778","937.5","937.5","90","54.75","270","195.13","550","340.31","0","0","180","180","685","685","182","105.11","430","250.26","4622.5","4046.1"
"24","05:45-06:00","520","520","778","778","937.5","937.5","90","54.75","270","195.13","550","340.31","0","0","200","200","685","685","182","105.11","430","250.26","4642.5","4066.1"
"25","06:00-06:15","520","520","778","778","937.5","937.5","90","54.75","270","195.13","550","340.31","0","0","220","220","685","685","182","105.11","445","250.26","4677.5","4086.1"
"26","06:15-06:30","520","520","778","778","937.5","937.5","90","54.75","270","195.13","550","340.31","0","0","240","240","685","685","182","105.11","445","250.26","4697.5","4106.1"
"27","06:30-06:45","520","520","778","778","937.5","937.5","90","54.75","270","195.13","550","340.31","0","0","260","260","685","549.55","182","105.11","445","250.26","4717.5","3990.6"
"28","06:45-07:00","520","520","778","778","937.5","937.5","90","54.75","270","195.13","550","340.31","0","0","260","260","685","549.55","182","105.11","445","250.26","4717.5","3990.6"
"29","07:00-07:15","520","520","778","778","937.5","937.5","90","54.75","340","250.26","550","340.31","0","0","240","240","685","549.55","182","105.11","445","250.26","4767.5","4025.7"
"30","07:15-07:30","520","520","778","778","937.5","937.5","90","54.75","340","250.26","550","340.31","0","0","240","240","685","549.55","182","105.11","445","250.26","4767.5","4025.7"
"31","07:30-07:45","520","520","778","778","937.5","937.5","90","54.75","340","250.26","550","340.31","0","0","265","265","685","496.65","182","105.11","445","250.26","4792.5","3997.8"
"32","07:45-08:00","520","520","778","778","937.5","937.5","90","54.75","340","250.26","550","340.31","0","0","295","295","685","496.65","182","105.11","445","250.26","4822.5","4027.8"
"33","08:00-08:15","520","520","778","778","937.5","937.5","90","54.75","340","250.26","550","340.31","0","0","295","295","685","496.65","182","105.11","445","250.26","4822.5","4027.8"
"34","08:15-08:30","520","433.54","778","653","937.5","937.5","90","54.75","340","250.26","550","340.31","0","0","295","295","685","496.65","182","105.11","445","250.26","4822.5","3816.4"
"35","08:30-08:45","520","433.54","778","653","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","295","295","685","496.65","182","105.11","445","250.26","4837.5","3816.4"
"36","08:45-09:00","520","433.54","778","653","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","295","295","685","496.65","182","105.11","445","250.26","4837.5","3816.4"
"37","09:00-09:15","520","347.08","778","653","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","301","301","685","496.65","182","105.11","445","250.26","4843.5","3735.9"
"38","09:15-09:30","520","315.33","778","653","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","301","301","685","496.65","182","105.11","445","250.26","4843.5","3704.2"
"39","09:30-09:45","520","315.33","778","653","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","301","301","685","496.65","182","105.11","445","250.26","4843.5","3704.2"
"40","09:45-10:00","520","315.33","778","653","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","325","325","685","496.65","182","105.11","445","250.26","4867.5","3728.2"
"41","10:00-10:15","520","401.79","778","778","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","345","345","685","496.65","182","105.11","445","250.26","4887.5","3959.6"
"42","10:15-10:30","520","488.25","778","778","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","365","365","685","496.65","182","105.11","445","250.26","4907.5","4066.1"
"43","10:30-10:45","520","520","778","778","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","325","325","685","496.65","182","105.11","445","250.26","4867.5","4057.8"
"44","10:45-11:00","520","520","778","778","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","325","325","685","632.1","182","105.11","445","250.26","4867.5","4193.3"
"45","11:00-11:15","520","520","778","778","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","325","325","685","632.1","182","105.11","445","250.26","4867.5","4193.3"
"46","11:15-11:30","520","520","778","778","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","340","340","685","632.1","182","105.11","445","250.26","4882.5","4208.3"
"47","11:30-11:45","520","520","778","778","937.5","937.5","90","54.75","340","250.26","565","340.31","0","0","360","360","685","496.65","182","105.11","445","250.26","4902.5","4092.8"
"48","11:45-12:00","520","433.54","778","653","937.5","796.88","90","54.75","340","250.26","565","340.31","0","0","380","380","685","496.65","182","105.11","445","250.26","4922.5","3760.8"
"49","12:00-12:15","520","347.08","778","583","937.5","656.26","90","54.75","340","250.26","565","340.31","0","0","380","380","685","496.65","182","105.11","445","250.26","4922.5","3463.7"
"50","12:15-12:30","520","347.08","778","583","937.5","656.26","90","54.75","340","250.26","565","340.31","0","0","400","380","685","496.65","182","105.11","445","250.26","4942.5","3463.7"
